timestamp,status,location,image_path,ai_response
2026-03-28 11:12:51,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:12:55,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:12:58,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:04,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:06,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:10,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:14,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:18,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:22,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:26,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:30,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:34,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:40,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:42,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:46,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:50,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:54,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:13:58,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:02,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:06,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:11,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:14,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:18,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:22,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:26,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:30,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:34,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:38,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:43,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:47,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:50,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:55,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:14:58,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:02,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:06,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:10,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:14,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:18,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:23,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:26,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:30,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:35,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:38,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:42,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:46,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:50,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:57,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:15:58,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:02,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:07,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:10,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:15,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:18,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:22,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:27,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:31,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:34,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:38,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:42,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:47,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:51,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:55,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:16:59,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:02,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:06,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:11,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:14,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:19,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:24,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:28,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:32,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:36,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:40,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:44,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:48,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:53,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:17:58,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:00,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:04,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:08,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:12,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:16,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:21,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:24,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:28,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:32,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:36,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:41,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:18:44,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:01,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:05,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:09,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:13,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:17,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:21,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:25,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:29,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:33,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:38,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:41,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:46,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:49,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:53,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:25:58,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:26:01,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:26:05,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:26:09,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:26:14,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:26:17,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:26:21,CLEAR,Sector Alpha – Border Gate 1,,
2026-03-28 11:29:09,CLEAR,Sector Alpha – Border Gate 1,,NO. The person's hand is partially visible and obscured by the food container.
2026-03-28 11:29:11,CLEAR,Sector Alpha – Border Gate 1,,"NO, the hand is partially covered by a white object."
2026-03-28 11:29:19,INTRUSION,Sector Alpha – Border Gate 1,detections\intrusion_20260328_112919.jpg,"YES, The person's hand is fully open with fingers extended."
2026-03-28 11:29:28,CLEAR,Sector Alpha – Border Gate 1,,"NO, the person has only four fingers visible."
2026-03-28 11:29:31,CLEAR,Sector Alpha – Border Gate 1,,"NO, the hand is partially closed."
2026-03-28 11:29:38,CLEAR,Sector Alpha – Border Gate 1,,"NO, the hand is partially obscured by the arm."
2026-03-28 11:29:41,CLEAR,Sector Alpha – Border Gate 1,,"NO, Only the index finger is extended; the other fingers are curled into the palm."
2026-03-28 11:29:43,CLEAR,Sector Alpha – Border Gate 1,,NO. The hand is partially obscured by the finger.
2026-03-28 11:29:49,CLEAR,Sector Alpha – Border Gate 1,,NO. The person's hand is partially visible and obscured by the shirt.
2026-03-28 11:29:54,CLEAR,Sector Alpha – Border Gate 1,,"NO, only a portion of the hand is visible."
2026-03-28 11:30:02,CLEAR,Sector Alpha – Border Gate 1,,NO. The person's hand is partially visible and blurred.
2026-03-28 11:30:07,CLEAR,Sector Alpha – Border Gate 1,,"NO, the hand is partially closed and partially covering the fingers."
2026-03-28 11:30:10,CLEAR,Sector Alpha – Border Gate 1,,"NO, the hand is partially covering the fingers."
2026-03-28 11:30:13,CLEAR,Sector Alpha – Border Gate 1,,"NO, only the index finger is extended; the other fingers are curled inwards."
2026-03-28 11:30:18,CLEAR,Sector Alpha – Border Gate 1,,"NO, the hand is partially closed, obscuring part of the fingers."
2026-03-28 11:30:22,CLEAR,Sector Alpha – Border Gate 1,,NO. The person's hand is not visible in the image.
2026-03-28 11:30:26,CLEAR,Sector Alpha – Border Gate 1,,NO. The person's hand is not visible in the image.
